08:58:28,  0,  0       
15:38:25,  0,  0       
15:40:01, 69, 63       
15:42:01, 69, 63       
15:44:01, 68, 62       
15:46:01, 66, 59       
15:48:01, 65, 59       
15:50:01, 65, 59       
15:52:01, 65, 58       
15:54:01, 35, 30       
15:56:01, 62, 56       
15:58:01, 57, 55       
16:00:01, 56, 53       
16:02:01, 54, 52       
16:04:01, 53, 50       
16:06:01, 53, 50       
16:08:01, 52, 51       
16:10:01, 52, 50       
16:12:01, 54, 52       
16:14:01, 51, 49       
16:16:01, 55, 53       
16:18:01, 56, 54       
16:20:01, 52, 52       
16:22:01, 49, 48       
16:24:01, 48, 47       
16:26:01, 47, 46       
16:28:01, 47, 45       
16:30:01, 48, 47       
16:32:01, 49, 49       
16:34:01, 52, 50       
16:36:01, 51, 49       
16:38:01, 50, 48       
16:40:01, 49, 47       
18:02:01, 39, 36       
18:04:01, 25, 21       
18:06:01, 12, 30       
18:08:01, 37, 34       
18:10:01, 36, 33       
18:12:01, 35,  4       
18:20:25,  0,  0       
18:22:01, 28, 28       
18:24:01,  8, 25       
18:26:01, 29,  9       
18:28:01,  5, 25       
18:30:01, 27, 24       
18:32:01, 26, 23       
18:34:01, 26, 23       
18:36:01, 27, 23       
18:38:01, 26, 23       
18:40:01, 26, 22       
18:42:01, 26, 22       
18:44:01, 25, 21       
18:46:01, 26, 21       
18:48:01, 25, 21       
18:50:01, 25, 21       
18:52:01, 24, 20       
18:54:01, 24, 20       
18:56:01, 24, 20       
18:58:01, 23, 19       
19:00:01, 24, 19       
19:02:01, 23, 18       
19:04:01, 21, 18       
19:06:01, 22, 18       
19:08:01, 21, 17       
19:10:01, 21, 17       
19:12:01, 20, 16       
19:14:01, 19, 16       
19:16:01, 20, 15       
19:18:01, 19, 15       
19:20:01, 19, 14       
19:22:01, 18, 14       
19:24:01, 18, 15       
19:26:01, 17, 14       
19:28:01, 17, 14       
19:30:01, 17, 13       
19:32:01, 16, 12       
19:34:01, 16, 12       
19:36:01, 15, 11       
19:38:01, 15, 11       
19:40:01, 14, 11       
19:42:01, 12, 11       
19:44:01, 13, 10       
19:46:01, 13, 10       
19:48:01, 12,  7       
19:50:01, 12,  9       
19:52:01, 11,  4       
19:54:01, 11,  8       
19:56:01, 11,  7       
19:58:01, 11,  8       
20:00:01, 10,  8       
20:02:01, 10,  6       
20:04:01,  8,  7       
20:06:01,  8,  6       
20:08:01,  8,  3       
20:10:01,  8,  5       
20:12:01,  7,  6       
20:14:01,  4,  5       
20:16:01,  7,  4       
20:18:01,  7,  5       
20:20:01,  6,  5       
20:22:01,  5,  4       
20:24:01,  6,  3       
20:26:01,  5,  3       
20:26:47,  0,  0       
20:28:01,  4,  3       
20:30:01,  4,  4       
20:32:01,  5,  2       
20:34:01,  3,  3       
20:36:01,  3,  3       
20:38:01,  2,  3       
20:40:01,  4,  2       
20:42:01,  3,  2       
20:44:01,  4,  3       
20:46:01,  3,  1       
20:48:01,  1,  1       
20:50:01,  2,  1       
20:52:01,  3,  1       
20:54:01,  1,  0       
